0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	0.11089558871717577	0.2840244891964281	0.824180621169821	0.354247386991748	0.008117903473011884	0.102471228096803	0.8839070940027606	0.14593166264839785	0.8611473800770163	0.12175113705556335	0.3549076283024962	0.05081742806902649	0.4752189585526562	0.05615779159359234	0.06676790026705873	0.00023307926595205025	0.3295539419496263	0.4315722126492082	0.16587564221990528	0.4634916922462465
YearsOfEd2	0.42545494375208415	0.36006664336072525	0.614800737046117	0.4993264217888965	0.7313804266554278	0.031352499314682716	0.8201746378490106	0.6263827412637756	0.6169395078502149	0.6512699476471453	0.6513307055564449	0.5425053152407766	0.0838293350750385	0.22138406245997075	0.9587503226951566	0.20102516152254246	0.22446145896608544	0.3653018868829371	0.1070743983262389	0.5212711578541042
T2D2	0.6667970739519457	0.1837373034488482	0.2499817852202307	0.708752820714997	0.003592329966118751	0.0795506896937061	0.9778606126251124	0.9993021371720908	0.939580328273152	0.03273658330235987	0.09286816731023417	0.8038693286647682	0.871508570354182	0.5208458585049197	0.03689614865713115	0.11087852326482912	0.38129074264886	0.2644143642692701	0.9671911546418474	0.258525904413473
SkinColor	0.5011509721032983	0.15720634270310518	0.6473712488184524	0.7278675792051242	0.15865855563687364	0.009943255134922956	0.9984123314006426	0.03340945839428412	0.8483551721518182	0.9145865279558228	0.9562961125999024	0.5133051034651377	0.8812323374868115	0.2282964487919517	0.654710275208864	0.03083283012598818	0.13390847796708186	0.6122654242205838	0.9185282138551144	0.4070571285018458
Balding	0.6232954431660042	0.5531859287546674	0.4609184656574034	0.5362170232912276	0.04201004413474168	1.0575326052825904e-05	0.4102044179434785	0.11140361672857983	0.055003320937868486	0.05710324588412625	0.409398709510174	0.9719764110695956	0.4674675199802788	0.6526442213344323	0.5948436117857565	0.005809007372928725	0.3174517723505729	0.5737798727339838	0.178344642798401	0.3036683059389681
HairColor	0.4515324854242784	0.11504221470455828	0.8902199297242965	0.9815334469886096	0.5674497434759798	0.9847247037735288	0.4292043489981289	0.6764342956073206	0.5640003036117573	0.4070965328673489	0.02390576554739128	0.8764190839169507	0.4199068964679236	0.3015141444119782	0.5084988660560006	0.2162626932734324	0.7858701041598094	0.2068560976538648	0.7728500974385376	0.4934337238983218
FVC	0.21107428223130653	0.7340758570535381	0.6970685806595539	0.33790567876760624	0.09404319427928903	0.2046337076340453	0.5335150320427549	0.7807925647552102	0.18845628002994688	0.34178696209832804	0.62236217429302	0.7241080887552582	0.3846187151344991	0.7920977961435006	0.019506890510100957	0.2664555003928733	0.3845924721232716	0.2186905437391551	0.263294819167673	0.6344143288575593
ASD	0.5713502890131072	0.735385496778938	0.9756687149595152	0.3749271679900695	0.8910652961750483	0.8058511753990778	0.24211129640686244	0.4404251528712003	0.4712609720315689	0.4604441619427069	0.5852112203555533	0.4330623609991052	0.10235092820412983	0.721315651769225	0.9191220927226382	0.9908806783997004	0.14599446666450686	0.6406520317806987	0.782029213472677	0.7157584383527074
Sunburn	0.2380831012985689	0.16251929207493487	0.4222130900831538	0.8824289301177466	0.15254895711054794	0.3931651021921845	0.5880678099828087	0.2941457782781858	0.9513730170686872	0.7187849341876106	0.5080269529719532	0.2590211946696629	0.7922916591493069	0.4298111408833167	0.32227228473403713	0.729443713149514	0.3482057211027387	0.8333713090345941	0.6984982566360695	0.931852990361452
Schizophrenia	0.1329897845691861	0.008285233840231315	0.02607475631454397	0.6442609888633417	0.017465345048813946	0.09690349548680612	0.8193539535726816	0.052375178475295325	0.12099991809515676	0.6645804133137094	0.8565962095945698	0.006359018648246513	0.24527221418580844	0.05230875135468294	0.08913496843876846	0.0020837286612688946	0.2305529389566761	0.35303213560808894	0.9826010242131824	0.30086331108734904
Anorexia	0.3404944744964544	0.06692952964021749	0.02702620053376985	0.574135961437082	0.05855814661215215	0.19272977768864488	0.8940366292231918	0.9826444004415834	0.34080190401204324	0.8318842547305576	0.1958847224380352	0.5487350612661474	0.18519720254409588	0.866050545974824	0.2197094551179592	0.020881683001160046	0.5189869276741306	0.24433500824061424	0.6346937899414457	0.9988653255548
SmokingStatus	0.3838422792254715	0.5555641247603416	0.4861618516816124	0.7936246386109694	0.012969547566826034	0.16843389861984542	0.5388127174693841	0.6245142151686349	0.3498088567205048	0.4683656722682453	0.7400926714684264	0.06875388224745056	0.806542233870559	0.9540451187914908	0.7200417357161317	0.0005807236313891312	0.013380121838105469	0.618650540176112	0.9387473018569548	0.5467421538818762
FirstBirthAge	0.3253775683310587	0.5454116374027199	0.6190442850010801	0.8853054733833523	0.026101416284189417	0.3311596880113803	0.6834919886845149	0.7865825401309042	0.9639071518244616	0.5257837267059707	0.17769592160418018	0.03085894005601582	0.23988702022939845	0.5559353072307222	0.5858903150864547	0.3106870023560023	0.2317825728176831	0.2927017155698177	0.3769755985921367	0.7743296102735394
Tanning	0.5270181920762016	0.1276829017160937	0.983471387557268	0.8295986138673243	0.2605461240512261	0.8879826665271792	0.6698640343303679	0.4593505638020091	0.880475666316157	0.8076958416346923	0.869769033079848	0.7569093656091872	0.8847895328362027	0.052817151687524	0.4382908049581431	0.34251299804534463	0.3831454301016771	0.7692421835977555	0.9055060256503568	0.7539798886937826
NumChildrenBorn	0.6625268785993337	0.5689441159862246	0.8049980741071503	0.24628908601202595	0.04306200559237279	0.6603245792920769	0.8653970921282598	0.8606254226219123	0.2762567394440177	0.3197135864449955	0.10728359841709964	0.7892914544988819	0.7514650268933805	0.021004782332939804	0.3839783025297324	0.07795249733930942	0.8902667762628133	0.6549008678283466	0.21275380377541	0.20685259804357287
DepressiveSxs	0.4473593630913788	0.2445942228023197	0.4373673088938046	0.6205919903875431	0.8013615081117907	0.7177459975870112	0.826407136352716	0.4533929895129831	0.8766013885856506	0.3365035342978228	0.6842230186694165	0.8844265797801878	0.5976924439100899	0.10909527071832473	0.7282870517248099	0.20332159988110807	0.9002982619648104	0.4240398117615436	0.10515382412295968	0.28603595987460056
BMI2	0.3620980661981064	0.019232289371832176	0.09552214701199743	0.7644311476747374	0.027387037044780956	0.26069903143549034	0.11487520788998712	0.5128744398549263	0.4858680395442792	0.009010223569143508	0.263817898904046	0.18265823280622892	0.8434462701620346	0.1224742108024077	0.2383282856566944	0.003976729560886189	0.7491476110768635	0.4354608437196452	0.16192235502323146	0.443581027944204
Neuroticism	0.6833971065486208	0.21525728448280948	0.5211972672750042	0.7619402790677462	0.6874218001527457	0.2875582144148409	0.3872258430924795	0.6896357256371082	0.93145910754434	0.8042103412033451	0.3382791281400378	0.6647853456181185	0.8581849540538619	0.12653268886173852	0.9306898141674176	0.17634467605817794	0.910597072942104	0.9498982347553993	0.9751107238345342	0.06826632647387398
MenarcheAge	0.5069481263290253	0.5744638095215555	0.7374333991574982	0.3140265764711581	0.7480189667166685	0.7127823829679534	0.5626875357377181	0.8352516194089038	0.7371198707803237	0.1803361886697237	0.4242294182566352	0.2856555178260505	0.6951633749854556	0.4812312910420044	0.43908494961348143	0.8385721196488254	0.39663376551183616	0.8267526645261305	0.06580412815128536	0.22285498450771346
