0	100kbBookendBoundaries_byStability.bed
MorningPerson	0.9141962319939999
YearsOfEd2	0.945251759511
T2D2	1.03429157551
SkinColor	1.07147166422
Balding	0.854298832588
HairColor	0.986540869333
FVC	1.0115962806999999
ASD	0.8902582672120001
Sunburn	1.0537211748
Schizophrenia	0.9710107074940001
Anorexia	0.903416006189
SmokingStatus	0.9342576965870001
FirstBirthAge	0.909776191591
Tanning	1.03406370752
NumChildrenBorn	0.9188656414120001
DepressiveSxs	0.974930526489
BMI2	0.973835116578
Neuroticism	0.963421857316
MenarcheAge	1.00244686816
Heel_T_Score	1.04519210239
Eczema	1.12064457154
SystolicBP	1.04352456529
AutoimmuneDz	1.19114007373
MenopauseAge	1.27620529059
WaistHipRatio	1.03684532358
RBCCount	1.13018619007
EosinophilCount	1.1621521733700002
Resp_ENT_Dz	1.07067013289
RA	1.1566641772600001
PlateletCount	1.21275475627
HDL	1.1543923942799998
UC	1.24838312699
Hypothyroidism	1.19297427919
WBCCount	1.1836920417
LDL	1.47063597199
CrohnsDz	1.18393163807
Height2	1.1150268019
DermDz	1.2505466241399998
FEV1_FVC_Ratio	1.0365921
RDW	1.27766525517
HighCholesterol	1.26898508336
